SERVICE,TOTAL,PCT_DUR_NULL,PCT_DIST_NULL,PCT_TOTAL_NULL,PCT_TIP_OVER_TOTAL
green,66876381,0.0,0.0,0.0,0.17
yellow,776516520,0.0,0.0,0.0,0.28
