PAYMENT_DESC,PICKUP_HOUR,TRIPS,AVG_TIP,AVG_TIP_PCT
Cash,0,203389,0.00013919140169822358,1.2460859988112831e-05
Cash,1,157741,0.00030290159184993116,2.081315394693527e-05
Cash,2,121258,0.0006510910620330206,2.4918984628742903e-05
Cash,3,96268,1.9321062035151867e-05,7.142956212984925e-06
Cash,4,83592,4.5458895588094554e-05,2.52991289110456e-06
Cash,5,64626,0.00022483211091511155,4.333551651283005e-06
Cash,6,111679,0.00028599826287842837,1.237603029129481e-05
Cash,7,180538,0.00039387829708980925,1.1214446219900464e-05
Cash,8,212282,0.0003553763390207366,1.0858767126112098e-05
Cash,9,231300,0.00012001729355814958,5.277108251700673e-06
Cash,10,253860,0.00013310486094697866,2.8089123833374146e-05
Cash,11,273474,2.6547313455758134e-05,3.1716870813525534e-06
Cash,12,292890,0.0002001092560346888,6.740389837609138e-06
Cash,13,296809,0.0003253607538854954,5.647337267667909e-06
Cash,14,312580,2.6809136860963596e-05,3.668662763891936e-06
Cash,15,315427,7.37730124561309e-05,6.143455303303437e-06
Cash,16,285410,0.0001248029151045864,3.7894323382366456e-06
Cash,17,315266,5.287598408962591e-05,2.6462970473432033e-06
Cash,18,347427,8.044855466040348e-05,5.125209230902878e-06
Cash,19,334465,0.0002455264377438596,7.729227193109617e-06
Cash,20,289845,0.0001835463782366437,7.833254135337289e-06
Cash,21,281260,5.720685486738249e-05,3.612625878893057e-06
Cash,22,272150,0.00015936064670218631,6.6433230964471905e-06
Cash,23,241735,0.00030458973669514143,9.119739837181602e-06
Credit card,0,330098,2.573006561687741,0.20917137908963618
Credit card,1,249092,2.50374283397299,0.21843575963688136
Credit card,2,185213,2.455118485203523,0.20916492529090458
Credit card,3,132439,2.503016785085964,0.2064708140292576
Credit card,4,84492,2.9290504426454578,0.20602817020661693
Credit card,5,77644,3.425695739529133,0.2071675430143208
Credit card,6,173279,2.6885446591912467,0.19736724988838322
Credit card,7,309433,2.4018022318240138,0.19787250675738496
Credit card,8,402115,2.334950623577832,0.20214707050569902
Credit card,9,401730,2.3546504617529185,0.20173185251708575
Credit card,10,363477,2.382402903072272,0.208588287821196
Credit card,11,371489,2.3848328214294368,0.20487780872153172
Credit card,12,393413,2.3755254656048477,0.20870824080494813
Credit card,13,391090,2.439694878416733,0.20598784761386235
Credit card,14,405040,2.5439122062018567,0.2579148751258232
Credit card,15,399464,2.5823982636733227,0.20904871493842903
Credit card,16,364175,2.623031674332395,0.21444306003900854
Credit card,17,434535,2.498335416019423,0.26281573536813635
Credit card,18,543274,2.3903771209371336,0.21417668803697115
Credit card,19,563682,9.36139364038589,0.5329744373402577
Credit card,20,529857,2.405649562051648,0.2117977435811553
Credit card,21,509516,2.5164796983804236,0.22775780645094748
Credit card,22,490353,2.5565071081445407,0.2116305115969251
Credit card,23,422126,2.6044810317298626,0.20962069407164002
Dispute,0,647,0.0,0.0
Dispute,1,596,0.0016778523489932886,0.00027412280701754384
Dispute,2,474,0.0,0.0
Dispute,3,447,0.0,0.0
Dispute,4,385,0.0,0.0
Dispute,5,224,0.0,0.0
Dispute,6,291,0.0,0.0
Dispute,7,412,0.0,0.0
Dispute,8,525,-0.10333333333333333,0.0
Dispute,9,539,-0.1714656771799629,0.0
Dispute,10,534,0.0012172284644194756,0.0004028509451502944
Dispute,11,616,0.00900974025974026,0.00038711027411592383
Dispute,12,594,-0.06902356902356903,0.0
Dispute,13,674,-0.0024035608308605335,0.00038998357963875203
Dispute,14,730,-0.03493150684931507,0.0
Dispute,15,795,-0.00880503144654088,0.0
Dispute,16,764,-0.0022905759162303663,0.0
Dispute,17,747,0.004765729585006694,0.0003498427672955975
Dispute,18,808,0.0,0.0
Dispute,19,841,0.0019262782401902497,0.0007242681775259679
Dispute,20,805,-0.0023478260869565218,0.0
Dispute,21,733,0.0026193724420190997,0.0007989288861772083
Dispute,22,746,0.0025067024128686325,0.0005332619939361512
Dispute,23,681,0.0,0.0
No charge,0,1665,0.002702702702702703,0.00034933982217293986
No charge,1,1443,-0.002453222453222453,0.00018323293172690762
No charge,2,1313,3.8080731150038084e-05,0.0020242914979757085
No charge,3,1144,0.00972027972027972,0.00020894844424256188
No charge,4,1034,-0.0012572533849129594,0.0
No charge,5,669,0.0,0.0
No charge,6,751,0.0013315579227696406,0.00031565656565656563
No charge,7,852,-0.0007981220657276996,0.0
No charge,8,1008,-9.92063492063492e-05,0.0
No charge,9,1097,0.0021877848678213308,0.00032160804020100504
No charge,10,1138,0.0,0.0
No charge,11,1215,0.0,0.0
No charge,12,1245,-0.0030441767068273085,0.0002233409610983982
No charge,13,1330,0.0009473684210526315,0.00018640431984614248
No charge,14,1501,0.0,0.0
No charge,15,1549,-0.0010974822466107165,0.0
No charge,16,1633,-4.898958971218607e-05,0.0004119850187265918
No charge,17,1767,0.0004527447651386531,0.0001084672225611823
No charge,18,1826,-0.0008214676889375684,0.0
No charge,19,1833,0.0012875068194217133,0.0002275975810885102
No charge,20,1683,0.009292929292929294,0.0005845952153527869
