PU_BOROUGH,P50_MIN,P90_MIN
Bronx,13.999999999999993,38.000000000000014
Brooklyn,13.000000000000004,32.99602933037002
EWR,0.0,29.979807692307688
Manhattan,11.000000000000007,25.000000000000014
N/A,8.0,59.999999999999986
Queens,25.00000000000001,54.993251625690334
Staten Island,27.999999999999993,72.0
Unknown,11.000000000000005,29.000000000000007
